cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
7,43,7202520,84,145,7.325609999999999,11.39129786209749
7,43,7194396,96,169,8.41751,11.374286293155642
7,43,7189232,117,198,9.860368000000001,11.796126635956409
7,43,7188476,119,210,10.144872,11.674151858152188
7,43,7188084,127,218,10.816075999999997,11.753893824393124
7,43,7190360,165,286,13.630722000000002,12.03677563231371
7,43,7187336,199,341,16.492906,11.635079472270213
7,49,7189604,26,40,3.1189000000000004,8.25501651003302
7,49,7189100,49,78,4.242238,11.35865773118925
7,49,7187332,68,115,6.518796,10.500600696128059
7,49,7188464,84,145,7.615578000000001,10.85344235013205
7,49,7189336,96,169,8.426694,11.153945359610171
7,49,7193912,117,198,10.180094,11.337615786612504
7,49,7189724,119,210,10.21675,11.618495473180314
7,49,7190764,127,218,10.803711999999999,11.727768030289038
