cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
19,85,9287768,666,17,1.4030340000000001,3.124105220614366
19,91,9277072,316,17,1.359768,3.3222710119448258
19,97,9274464,729,17,1.3079479999999999,3.166369937119976
25,1,9328496,653,17,1.500154,2.9429183357287547
25,7,9303960,456,17,1.6561460000000001,2.880237270914549
25,13,9300916,-1,17,-1,-1
25,19,9289944,304,17,1.407226,3.090243967645552
25,25,9293872,453,17,1.4735459999999998,3.057109436217056
25,31,9278556,563,17,1.7271260000000002,2.8233888529599143
25,37,9277220,200,17,1.80256,3.432329142516656
25,43,9267500,366,17,1.331536,3.0918818586873136
25,49,9257668,264,17,1.6460380000000001,2.236139366369582
25,55,9318688,250,17,2.2710440000000003,2.6948093875086316
25,61,9311108,1316,17,1.663556,2.742951796728263
25,67,9291192,349,17,1.4442699999999997,2.8593156092906624
25,73,9274448,288,17,1.642064,3.4944768458754916
25,79,9273964,557,17,1.5811999999999997,2.385779213909307
25,85,9259352,222,17,2.22271,2.309792009472228
25,91,9312224,286,17,1.4748899999999998,2.617253170834246
25,97,9303276,209,17,1.552516,3.3906191140717827
31,1,9302068,360,17,1.49839,3.2334064053241987
31,7,9323484,267,17,1.6004939999999999,3.247822742349614
31,13,9299668,1438,17,1.614234,3.270621553195886
31,19,9333476,356,17,1.839654,3.2473743017575134
31,25,9335420,281,17,1.428356,3.229449638571719
31,31,9316684,233,17,1.65157,3.1537786531957455
31,37,9313296,269,17,1.5341779999999998,3.8971900969646973
31,43,9313260,409,17,1.773072,3.5988137465182137
31,49,9303044,319,17,1.4556639999999998,3.7947043532753173
31,55,9298944,414,17,1.4969239999999997,3.4255118720050044
31,61,9288616,275,17,1.682188,2.818732826870252
31,67,9291256,417,17,1.6160519999999998,3.2821847733072897
31,73,9328152,238,17,1.560676,3.11738704285582
31,79,9327976,462,17,1.7828819999999999,2.8910158366343266
31,85,9321584,258,17,1.8226080000000002,3.547346488580707
31,91,9313056,265,17,1.6507619999999998,3.0883855144230514
31,97,9312768,214,17,1.750406,2.98251937034835
37,1,9311664,1847,17,1.9205739999999998,2.233677657505597
37,7,9312440,185,17,1.925456,2.639834909005604
37,13,9309100,523,17,1.8205459999999998,2.2350610740053938
37,19,9283944,444,17,1.858924,2.577420726317161
37,25,9283916,183,17,1.7971940000000004,2.446494954806019
37,31,9274948,464,17,1.6749840000000005,2.319069821094759
37,37,9325588,375,17,1.86272,2.380127723365942
37,43,9303708,293,17,2.216876,2.5482247179363107
37,49,9305700,515,17,2.779788,2.4639187800511375
37,55,9289036,489,17,1.9504319999999997,2.7221946879126264
37,61,9271596,244,17,1.7675359999999998,2.913527460235126
